czas [s]	T2 [C]	T3 [C]	T4 [C]	T6 [C]	T8 [C]
171.000000	88.620000	39.750000	24.670000	22.860000	22.690000
172.000000	87.320000	39.170000	24.840000	21.920000	22.690000
173.000000	88.930000	39.740000	25.290000	23.100000	23.810000
174.000000	89.210000	39.410000	25.240000	21.660000	23.740000
175.000000	88.820000	39.500000	25.630000	21.510000	23.080000
176.000000	88.820000	41.020000	26.270000	22.920000	23.150000
177.000000	90.200000	39.680000	25.050000	23.260000	22.720000
178.000000	89.090000	41.110000	25.430000	21.700000	22.460000
179.000000	90.410000	40.660000	26.430000	23.250000	24.270000
180.000000	90.580000	40.750000	26.140000	21.510000	24.050000
181.000000	91.150000	41.890000	25.510000	21.990000	22.760000
182.000000	91.770000	42.280000	26.330000	22.900000	22.480000
183.000000	90.910000	41.850000	26.810000	21.750000	23.740000
184.000000	91.420000	40.920000	27.000000	21.960000	23.500000
185.000000	91.980000	42.520000	26.090000	21.720000	23.540000
186.000000	91.470000	42.230000	26.570000	21.460000	23.000000
187.000000	92.900000	42.000000	25.420000	22.920000	22.830000
188.000000	92.640000	43.000000	26.410000	21.820000	23.360000
189.000000	92.770000	42.800000	25.520000	22.660000	23.610000
190.000000	92.280000	41.910000	26.390000	22.590000	23.430000
191.000000	93.410000	42.590000	26.940000	22.850000	22.310000
192.000000	92.390000	43.310000	26.930000	21.990000	22.770000
193.000000	94.010000	42.850000	26.550000	22.850000	23.070000
194.000000	94.330000	43.190000	25.840000	22.360000	22.290000
195.000000	94.880000	43.200000	27.310000	23.170000	22.560000
196.000000	94.090000	43.630000	26.110000	22.460000	22.910000
197.000000	95.420000	43.590000	27.540000	22.040000	22.520000
198.000000	94.220000	43.480000	26.690000	22.650000	23.270000
199.000000	95.660000	45.370000	26.190000	21.810000	22.880000
200.000000	96.100000	44.750000	26.590000	23.020000	22.710000
201.000000	94.930000	44.050000	27.970000	22.720000	23.110000
202.000000	96.740000	45.070000	27.930000	21.780000	22.500000
203.000000	97.000000	44.430000	28.080000	23.130000	23.340000
204.000000	97.260000	45.910000	26.550000	21.780000	24.230000
